Student_ID,Student_Name,Roll_No,Year,Division,Stream
BSCDS096,Faisal Khan,6,FY,A,BSCDS
BSCDS097,Gaurav Bhat,7,FY,A,BSCDS
BSCDS098,Harjeet Singh,8,FY,A,BSCDS
BSCDS099,Indrajith Nair,9,FY,A,BSCDS
BSCDS100,Jayant Desai,10,FY,A,BSCDS
BSCDS101,Aadhya Iyer,1,FY,B,BSCDS
BSCDS102,Abhilasha Kapoor,2,FY,B,BSCDS
BSCDS103,Achutha Rao,3,FY,B,BSCDS
BSCDS104,Aditi Malhotra,4,FY,B,BSCDS
BSCDS105,Agni Patel,5,FY,B,BSCDS
BSCDS106,Aishwarya Singh,6,FY,B,BSCDS
BSCDS107,Akshara Menon,7,FY,B,BSCDS
BSCDS108,Alia Trivedi,8,FY,B,BSCDS
BSCDS109,Alka Srivastava,9,FY,B,BSCDS
BSCDS110,Aman Verma,10,FY,B,BSCDS
BSCDS111,Kailash Mohan,1,FY,C,BSCDS
BSCDS112,Laxmi Babu,2,FY,C,BSCDS
BSCDS113,Mahesh Pillai,3,FY,C,BSCDS
BSCDS114,Naresh Kumar,4,FY,C,BSCDS
BSCDS115,Omprakash Singh,5,FY,C,BSCDS
BSCDS116,Prakash Yadav,6,FY,C,BSCDS
BSCDS117,Rajeev Sinha,7,FY,C,BSCDS
BSCDS118,Sanjeev Reddy,8,FY,C,BSCDS
BSCDS119,Tarun Joshi,9,FY,C,BSCDS
BSCDS120,Udaya Rao,10,FY,C,BSCDS
BSCDS121,Anita Mukherjee,1,SY,A,BSCDS
BSCDS122,Anjana Gupta,2,SY,A,BSCDS
BSCDS123,Annaya Vohra,3,SY,A,BSCDS
BSCDS124,Anshu Sachdeva,4,SY,A,BSCDS
BSCDS125,Antara Singh,5,SY,A,BSCDS
BSCDS126,Aparna Nayak,6,SY,A,BSCDS
BSCDS127,Archana Das,7,SY,A,BSCDS
BSCDS128,Aruna Srinivas,8,SY,A,BSCDS
BSCDS129,Asha Khurana,9,SY,A,BSCDS
BSCDS130,Ashwini Rao,10,SY,A,BSCDS
BSCDS131,Vikram Solanki,1,SY,B,BSCDS
BSCDS132,Vaibhav Chawla,2,SY,B,BSCDS
BSCDS133,Vansh Bansal,3,SY,B,BSCDS
BSCDS134,Vihaan Kapoor,4,SY,B,BSCDS
BSCDS135,Vikas Saxena,5,SY,B,BSCDS
BSCDS136,Vimic Sharma,6,SY,B,BSCDS
BSCDS137,Vipul Nair,7,SY,B,BSCDS
BSCDS138,Vishal Desai,8,SY,B,BSCDS
BSCDS139,Vishu Pandey,9,SY,B,BSCDS
BSCDS140,Vivek Verma,10,SY,B,BSCDS
BSCDS141,Yasmin Mirza,1,SY,C,BSCDS
BSCDS142,Yashita Sinha,2,SY,C,BSCDS
BSCDS143,Yamini Joshi,3,SY,C,BSCDS
BSCDS144,Yuki Tanaka,4,SY,C,BSCDS
BSCDS145,Yukta Das,5,SY,C,BSCDS
BSCDS146,Yuva Reddy,6,SY,C,BSCDS
BSCDS147,Yuvika Sharma,7,SY,C,BSCDS
BSCDS148,Yvette Kumar,8,SY,C,BSCDS
BSCDS149,Yara Menon,9,SY,C,BSCDS
BSCDS150,Yashodha Iyer,10,SY,C,BSCDS
BSCDS151,Kabir Rajput,1,TY,A,BSCDS
BSCDS152,Karan Mehta,2,TY,A,BSCDS
BSCDS153,Karun Rao,3,TY,A,BSCDS
BSCDS154,Kavi Sinha,4,TY,A,BSCDS
BSCDS155,Kavin Nair,5,TY,A,BSCDS
BSCDS156,Keshav Gupta,6,TY,A,BSCDS
BSCDS157,Kiaan Verma,7,TY,A,BSCDS
BSCDS158,Kiran Singh,8,TY,A,BSCDS
BSCDS159,Kobe Kapoor,9,TY,A,BSCDS
BSCDS160,Kunal Desai,10,TY,A,BSCDS
BSCDS161,Atara Poddar,1,TY,B,BSCDS
BSCDS162,Avni Saxena,2,TY,B,BSCDS
BSCDS163,Avriti Sharma,3,TY,B,BSCDS
BSCDS164,Awani Verma,4,TY,B,BSCDS
BSCDS165,Ayan Malhotra,5,TY,B,BSCDS
BSCDS166,Ayaan Patel,6,TY,B,BSCDS
BSCDS167,Ayasha Khan,7,TY,B,BSCDS
BSCDS168,Ayesha Nambiar,8,TY,B,BSCDS
BSCDS169,Ayirah Rao,9,TY,B,BSCDS
BSCDS170,Ayu Srivastava,10,TY,B,BSCDS
BSCDS171,Ziya Chatterjee,1,TY,C,BSCDS
BSCDS172,Zola Das,2,TY,C,BSCDS
BSCDS173,Zara Krishnan,3,TY,C,BSCDS
BSCDS174,Zeenat Ahmed,4,TY,C,BSCDS
BSCDS175,Zehe Menon,5,TY,C,BSCDS
BSCDS176,Zenith Mishra,6,TY,C,BSCDS
BSCDS177,Zeva Sharma,7,TY,C,BSCDS
BSCDS178,Zhea Gupta,8,TY,C,BSCDS
BSCDS179,Zimra Bhat,9,TY,C,BSCDS
BSCDS180,Zoey Pillai,10,TY,C,BSCDS
#@$@#$,Rohit Patel,12,TY,C,BSCDS
