Student_ID,Student_Name,Roll_No,Year,Division,Stream
BSC064,Student_64_BSCDS,4,TY,A,BSCDS
BSC065,Student_65_BSCDS,5,TY,A,BSCDS
BSC066,Student_66_BSCDS,6,TY,A,BSCDS
BSC067,Student_67_BSCDS,7,TY,A,BSCDS
BSC068,Student_68_BSCDS,8,TY,A,BSCDS
BSC069,Student_69_BSCDS,9,TY,A,BSCDS
BSC070,Student_70_BSCDS,10,TY,A,BSCDS
BSC071,Student_71_BSCDS,1,TY,B,BSCDS
BSC072,Student_72_BSCDS,2,TY,B,BSCDS
BSC073,Student_73_BSCDS,3,TY,B,BSCDS
BSC074,Student_74_BSCDS,4,TY,B,BSCDS
BSC075,Student_75_BSCDS,5,TY,B,BSCDS
BSC076,Student_76_BSCDS,6,TY,B,BSCDS
BSC077,Student_77_BSCDS,7,TY,B,BSCDS
BSC078,Student_78_BSCDS,8,TY,B,BSCDS
BSC079,Student_79_BSCDS,9,TY,B,BSCDS
BSC080,Student_80_BSCDS,10,TY,B,BSCDS
BSC081,Student_81_BSCDS,1,TY,C,BSCDS
BSC082,Student_82_BSCDS,2,TY,C,BSCDS
BSC083,Student_83_BSCDS,3,TY,C,BSCDS
BSC084,Student_84_BSCDS,4,TY,C,BSCDS
BSC085,Student_85_BSCDS,5,TY,C,BSCDS
BSC086,Student_86_BSCDS,6,TY,C,BSCDS
BSC087,Student_87_BSCDS,7,TY,C,BSCDS
BSC088,Student_88_BSCDS,8,TY,C,BSCDS
BSC089,Student_89_BSCDS,9,TY,C,BSCDS
BSC090,Student_90_BSCDS,10,TY,C,BSCDS
